Interval=	0.0025 s
ExcelDateTime=	4.6155602187774326e+004	5/13/2026 14:27:09.023702
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
152.0275	-47.78125
152.03	-40.1625
152.0325	-33.95
152.035	-30.41875
152.0375	-27.0625
152.04	-18.40625
152.0425	-8.775
152.045	-5.3375
152.0475	-11.1125
152.05	-26.86875
152.0525	-43.025
152.055	-45.7875
152.0575	-37.84375
152.06	-31.6375
152.0625	-29.475
152.065	-28.2
152.0675	-28.28125
152.07	-28.55625
152.0725	-24.1
152.075	-16.84375
152.0775	-12.6875
152.08	-10.00625
152.0825	-6.31875
152.085	-4.8875
152.0875	-6.03125
152.09	-5.03125
152.0925	-1.6375
152.095	-0.46875
152.0975	-3.15625
152.1	-5.98125
152.1025	-6.6625
152.105	-6.83125
152.1075	-7.90625
152.11	-6.10625
152.1125	1.4875
152.115	9.9625
152.1175	15.0625
152.12	19.31875
152.1225	25.26875
152.125	29.6875
152.1275	30.1
152.13	25.94375
152.1325	21.1375
152.135	19.7875
152.1375	13.7375
152.14	-2.8625
152.1425	-16.30625
152.145	-14.2125
152.1475	-5.175
152.15	-1.41875
152.1525	-4.90625
152.155	-8.11875
152.1575	-5.225
152.16	0.875
152.1625	8.28125
152.165	16.64375
152.1675	17.10625
152.17	6.83125
152.1725	0.7875
152.175	10.06875
152.1775	25.33125
152.18	27.0125
152.1825	12.7375
152.185	0.81875
152.1875	-1.75
152.19	-3.9875
152.1925	-5.81875
152.195	-1.98125
152.1975	3.95625
152.2	9.78125
152.2025	15.84375
152.205	17.15
152.2075	12.4375
152.21	8.6
152.2125	10.625
152.215	14.80625
152.2175	16.025
152.22	11.3
152.2225	0.39375
152.225	-5.7
152.2275	6.2875
152.23	25.5
152.2325	28.475
152.235	12.95625
152.2375	-4.0375
152.24	-12.06875
152.2425	-13.8
152.245	-13.25
152.2475	-13.375
152.25	-16.8625
152.2525	-23.1375
152.255	-25.175
152.2575	-19.59375
152.26	-9.00625
152.2625	1.35
152.265	4.75625
152.2675	3.775
152.27	2.96875
152.2725	-3.80625
152.275	-19.01875
152.2775	-27.575
152.28	-18.61875
152.2825	-3.1375
152.285	1.08125
152.2875	-10.79375
152.29	-30.95
152.2925	-45.01875
152.295	-39.69375
152.2975	-18.80625
152.3	-4.30625
152.3025	-9.925
152.305	-28.24375
152.3075	-46.1875
152.31	-52.51875
152.3125	-36.93125
152.315	-10.94375
152.3175	-5.425
152.32	-19.0125
152.3225	-17.79375
152.325	-2.8875
152.3275	-5.56875
152.33	-28.61875
152.3325	-50.50625
152.335	-54.40625
152.3375	-38.0875
152.34	-18.75
152.3425	-17.53125
152.345	-34.4375
152.3475	-52.16875
152.35	-50.45625
152.3525	-25.43125
152.355	0.9875
152.3575	7.35625
152.36	-4.6875
152.3625	-24.4875
152.365	-43.25625
152.3675	-52.19375
152.37	-50.19375
152.3725	-43.175
152.375	-33.29375
152.3775	-22.4375
152.38	-15.9625
152.3825	-15.0625
152.385	-15.73125
152.3875	-13.41875
